Name,Users,search_provider,homepage,background,content_script,browser_action
HD Call Of Cthulhu Tab, 36 , True , True , True , False , True
Hidden Agenda Chrome Tab, 2 , True , True , True , False , True
HD vampires wallpapers, 55 , True , False , False , False , True
biplpjfhkmpifgdnefpcamjklbekmngn.json, 11 , True , False , True , False , True
DealDecovery, 23 , False , True , True , False , False
Navy Wallpaper, 2 , True , False , False , False , True
Chrome Ghost Of Tsushima Tab, 9 , True , True , True , False , True
Logan - Wolverine Themes|PrivateSearch, 55 , True , False , False , False , True
gw6-2, 1 , True , True , False , False , False
WEB.DE search, 706 , True , False , True , False , True
myPhotoz Search, 4490 , True , False , True , False , False
Search and New Tab by Yahoo, 74566 , True , False , True , False , True
Go Private Search, 1 , True , False , True , False , True
Batman Wallpapers FullHD New Tab,  , True , False , True , False , True
Retro Wallpapers., 4 , True , False , False , False , True
bkcmkkgpckapoipcjmenbdgcgfflhdgp.json, 1 , True , False , False , False , False
DuckDuckGo Privacy Essentials, 1195853 , True , False , True , False , True
getMediaPlus Search Pro, 5707 , True , False , True , False , True
Attack On Titan HD Wallpapers, 33 , True , True , True , False , True
Stardew Valley Wallpapers FullHD New Tab,  , True , False , True , False , True
Bravo Team New Tab, 1 , True , True , True , False , True
Love Wallpaper., 1 , True , False , False , False , True
Aston Martin HD Wallpapers Sports Cars Theme, 15 , True , False , True , False , True
FaindOl - Search everything, 1 , True , False , True , False , False
Hero Finder,  , True , False , False , False , True
Super Mario 64 HD Background Tab, 71 , True , True , True , False , True
Recipes Feed Tab, 1618 , True , True , True , False , True
One Piece Wallpapers FullHD New Tab, 2 , True , False , True , False , True
blmabikegfnjiolfccojacjoenpbmhff.json, 313 , True , False , True , False , True
Jeffy HD Wallpapers New Tab Funny Themes, 1188 , True , False , True , False , True
FunSafeTab DS, 4 , True , False , True , False , False
Jake Paul HD Wallpapers Team10 New Tab Theme, 919 , True , False , True , False , True
Your Weather, 3 , True , False , True , False , True
Wallpaper George Michael New Tab, 18 , True , True , True , False , True
Search Assistant, 4150 , True , True , True , False , False
Tokyo Ghoul New Page, 66 , True , True , True , False , True
GiveBack Chrome Extension, 11 , True , True , False , False , True
Chrome Denver Tab,  , True , True , True , False , True
Lion Wallpapers FullHD New Tab , 3 , True , False , True , False , True
Airplanes HD Wallpapers New Tab Theme, 147 , True , False , True , False , True
This War of Mine Game Wallpapers HD New Tab,  , True , False , True , False , True
Bleach Wallpapers FullHD New Tab, 1 , True , False , True , False , True
Tom Brady HD Wallpapers New Tab, 102 , True , False , False , False , True
Toyota HD Wallpapers New Tab Theme, 19 , True , False , True , False , True
Pokemon Wallpapers FullHD New Tab, 5 , True , False , True , False , True
Topbar , 4 , True , False , True , False , False
Wallpaper Eagle New Tab, 43 , True , True , True , False , True
Snowboarding Wallpapers FullHD New Tab,  , True , False , True , False , True
New tab HD Railway station wallpaper, 15 , True , False , False , False , True
Striped Wallpapers, 2 , True , False , False , False , True
Clean Chrome, 8 , True , False , True , False , True
Incognito Search, 278 , True , False , True , False , False
minesey, 197 , True , False , False , False , True
Assassin's Creed Syndicate New Tab, 15 , True , True , True , False , True
Hotline Miami Indie Game Wallpapers New Tab, 6 , True , False , True , False , True
Chrome Iconoclasts Tab, 1 , True , True , True , False , True
Rugby HD Wallpapers Sport New Tab Theme, 22 , True , False , True , False , True
Minecraft HD Wallpapers New Tab Theme, 333 , True , False , True , False , True
Golliver, 9728 , True , True , True , False , False
KK Partizan Home, 768 , False , True , False , False , False
Anonymous Search Engine, 16 , True , False , True , False , True
Chief Keef HD Wallpapers Hip Hop Music Theme, 36 , True , False , True , False , True
Speed Fast Test, 13 , True , True , True , False , True
Hayley Kiyoko HD Wallpapers Music Theme, 18 , True , False , True , False , True
Space Galaxy Wallpapers FullHD New Tab, 1 , True , False , True , False , True
CS GO HD Wallpapers Counter Strike Online, 88 , True , False , True , False , True
MyStart Shield, 23914 , True , False , True , False , True
Better Private Search, 38 , True , False , True , False , True
FK Sarajevo Home, 197 , False , True , False , False , False
Overlord Chrome Tab, 187 , True , True , True , False , True
Bugatti Sports Cars Wallpapers FullHD,  , True , False , True , False , True
Fortnite Wallpapers FullHD New Tab, 3 , True , False , True , False , True
PUBG: Full HD Wallpaper New Tab, 499 , True , False , False , False , False
Safe Search Engine, 862 , True , True , False , False , True
Tesla HD Wallpapers EV New Tab Theme, 12 , True , False , True , False , True
goDownload Search Plus, 2296 , True , False , True , False , True
Pagani HD Wallpapers New Tab Super Cars Theme, 229 , True , False , True , False , True
Super Mario Bros HD Wallpapers New Tab Theme, 353 , True , False , True , False , True
Rihanna HD Wallpapers Hip Hop Music Theme, 22 , True , False , True , False , True
Tekken 7 Wallpapers and New Tab, 50 , True , True , True , False , True
New Dragon Ball FighterZ Tab, 103 , True , True , True , False , True
inFamous Second Son HD Wallpapers New Tab, 129 , True , False , False , False , True
ccammhgkfelmohfpeblmnhaedffogagd.json, 1 , True , False , False , False , False
Sonic The Hedgehog Wallpapers FullHD New Tab, 7 , True , False , True , False , True
Terraria Wallpapers and New Tab, 796 , True , True , True , False , True
Porsche vs Infiniti HD Wallpapers New Tab, 22 , True , False , False , False , True
YBN Nahmir HD Wallpapers Hip Hop Music Theme, 145 , True , False , True , False , True
Beautiful New Tab Images with Bing Search, 170 , True , False , True , False , True
